image_name,status,num_detections,max_confidence,predicted_classes,box_summary
NoDefectTempSelect_0001.bmp,FALSE_POSITIVE,5,0.894049,ExposeWhite,"ExposeWhite:count=5,max_conf=0.894049"
NoDefectTempSelect_0002.bmp,FALSE_POSITIVE,1,0.849043,ConvexPoint,"ConvexPoint:count=1,max_conf=0.849043"
NoDefectTempSelect_0003.bmp,FALSE_POSITIVE,1,0.617834,ExposeWhite,"ExposeWhite:count=1,max_conf=0.617834"
NoDefectTempSelect_0004.bmp,FALSE_POSITIVE,5,0.848917,ExposeWhite;FiberNep,"ExposeWhite:count=4,max_conf=0.848917;FiberNep:count=1,max_conf=0.338817"
NoDefectTempSelect_0005.bmp,TRUE_NEGATIVE,0,,,
NoDefectTempSelect_0006.bmp,FALSE_POSITIVE,1,0.407300,ExposeWhite,"ExposeWhite:count=1,max_conf=0.407300"
NoDefectTempSelect_0007.bmp,FALSE_POSITIVE,4,0.804695,ConvexPoint;ExposeWhite,"ConvexPoint:count=3,max_conf=0.804695;ExposeWhite:count=1,max_conf=0.578027"
NoDefectTempSelect_0008.bmp,TRUE_NEGATIVE,0,,,
NoDefectTempSelect_0009.bmp,FALSE_POSITIVE,4,0.874627,ConvexPoint;ExposeWhite;FiberNep,"ConvexPoint:count=1,max_conf=0.394155;ExposeWhite:count=2,max_conf=0.874627;FiberNep:count=1,max_conf=0.788468"
NoDefectTempSelect_0010.bmp,FALSE_POSITIVE,2,0.685390,ConvexPoint,"ConvexPoint:count=2,max_conf=0.685390"
NoDefectTempSelect_0011.bmp,FALSE_POSITIVE,1,0.816027,ExposeWhite,"ExposeWhite:count=1,max_conf=0.816027"
NoDefectTempSelect_0012.bmp,TRUE_NEGATIVE,0,,,
NoDefectTempSelect_0013.bmp,FALSE_POSITIVE,5,0.568500,ConvexPoint;FabricExposed;FiberNep,"ConvexPoint:count=3,max_conf=0.568500;FabricExposed:count=1,max_conf=0.266191;FiberNep:count=1,max_conf=0.269074"
NoDefectTempSelect_0014.bmp,FALSE_POSITIVE,5,0.787592,ConvexPoint,"ConvexPoint:count=5,max_conf=0.787592"
NoDefectTempSelect_0015.bmp,FALSE_POSITIVE,9,0.835273,ConvexPoint;ExposeWhite;FiberNep,"ConvexPoint:count=5,max_conf=0.835273;ExposeWhite:count=2,max_conf=0.399084;FiberNep:count=2,max_conf=0.763719"
NoDefectTempSelect_0016.bmp,FALSE_POSITIVE,6,0.797443,ConvexPoint;ExposeWhite,"ConvexPoint:count=5,max_conf=0.797443;ExposeWhite:count=1,max_conf=0.601095"
NoDefectTempSelect_0017.bmp,FALSE_POSITIVE,5,0.859879,ConvexPoint;ExposeWhite,"ConvexPoint:count=4,max_conf=0.859879;ExposeWhite:count=1,max_conf=0.538271"
NoDefectTempSelect_0018.bmp,FALSE_POSITIVE,7,0.841902,ConvexPoint,"ConvexPoint:count=7,max_conf=0.841902"
NoDefectTempSelect_0019.bmp,FALSE_POSITIVE,1,0.385204,ConvexPoint,"ConvexPoint:count=1,max_conf=0.385204"
NoDefectTempSelect_0020.bmp,FALSE_POSITIVE,2,0.649220,ExposeWhite;FabricExposed,"ExposeWhite:count=1,max_conf=0.649220;FabricExposed:count=1,max_conf=0.280919"
NoDefectTempSelect_0021.bmp,FALSE_POSITIVE,1,0.848412,ExposeWhite,"ExposeWhite:count=1,max_conf=0.848412"
NoDefectTempSelect_0022.bmp,FALSE_POSITIVE,10,0.826012,ConvexPoint;FiberNep,"ConvexPoint:count=9,max_conf=0.826012;FiberNep:count=1,max_conf=0.288192"
NoDefectTempSelect_0023.bmp,FALSE_POSITIVE,2,0.834225,ConvexPoint,"ConvexPoint:count=2,max_conf=0.834225"
NoDefectTempSelect_0024.bmp,FALSE_POSITIVE,1,0.657850,ConvexPoint,"ConvexPoint:count=1,max_conf=0.657850"
NoDefectTempSelect_0025.bmp,FALSE_POSITIVE,5,0.792688,ConvexPoint;ExposeWhite,"ConvexPoint:count=4,max_conf=0.792688;ExposeWhite:count=1,max_conf=0.712180"
NoDefectTempSelect_0026.bmp,FALSE_POSITIVE,11,0.735162,ConvexPoint,"ConvexPoint:count=11,max_conf=0.735162"
NoDefectTempSelect_0027.bmp,FALSE_POSITIVE,4,0.849814,ConvexPoint;ExposeWhite,"ConvexPoint:count=3,max_conf=0.849814;ExposeWhite:count=1,max_conf=0.256010"
NoDefectTempSelect_0028.bmp,FALSE_POSITIVE,1,0.278719,ConvexPoint,"ConvexPoint:count=1,max_conf=0.278719"
NoDefectTempSelect_0029.bmp,FALSE_POSITIVE,4,0.850312,ConvexPoint;ExposeWhite,"ConvexPoint:count=1,max_conf=0.644852;ExposeWhite:count=3,max_conf=0.850312"
NoDefectTempSelect_0030.bmp,FALSE_POSITIVE,2,0.618428,ConvexPoint;ExposeWhite,"ConvexPoint:count=1,max_conf=0.416760;ExposeWhite:count=1,max_conf=0.618428"
NoDefectTempSelect_0031.bmp,FALSE_POSITIVE,2,0.515508,ConvexPoint;ExposeWhite,"ConvexPoint:count=1,max_conf=0.515508;ExposeWhite:count=1,max_conf=0.469590"
NoDefectTempSelect_0032.bmp,FALSE_POSITIVE,2,0.779063,ConvexPoint,"ConvexPoint:count=2,max_conf=0.779063"
NoDefectTempSelect_0033.bmp,TRUE_NEGATIVE,0,,,
